epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.7348,0.69903,0.55682,1.0002,0.70788,0.36615,0.41399,0.20704,2.04111,2.26949,2.40065,0.0672378,0.000164634,0.000164634
2,65.2341,0.64668,0.50213,0.97427,0.90826,0.72502,0.8104,0.52181,1.23041,0.7269,1.39045,0.0340703,0.000330481,0.000330481
3,91.1024,0.58457,0.45135,0.95278,0.91348,0.77471,0.83593,0.48276,1.51038,0.73058,1.6345,0.000902007,0.000495503,0.000495503
4,118.303,0.58204,0.44572,0.94647,0.92091,0.74598,0.83057,0.59049,1.06264,0.6767,1.23857,0.000496288,0.000496288,0.000496288
5,144.471,0.58324,0.44655,0.94748,0.91636,0.77551,0.84268,0.53227,1.33975,0.72242,1.4487,0.00049505,0.00049505,0.00049505
6,170.372,0.5971,0.4512,0.9494,0.90639,0.76195,0.82536,0.53763,1.24183,0.70518,1.37986,0.000493813,0.000493813,0.000493813
7,196.589,0.58958,0.45039,0.9497,0.88731,0.75531,0.81838,0.55232,1.20642,0.70231,1.34215,0.000492575,0.000492575,0.000492575
8,222.385,0.58549,0.44444,0.95183,0.89922,0.77891,0.83025,0.52083,1.32324,0.72588,1.44889,0.000491338,0.000491338,0.000491338
9,248.202,0.58214,0.44538,0.95063,0.91403,0.75647,0.82789,0.5538,1.18279,0.70423,1.33568,0.0004901,0.0004901,0.0004901
10,275.597,0.58805,0.44584,0.94662,0.93148,0.73681,0.8217,0.54444,1.19428,0.70028,1.34077,0.000488863,0.000488863,0.000488863
11,301.199,0.58912,0.44668,0.95151,0.90783,0.7542,0.82328,0.55467,1.17332,0.69055,1.30916,0.000487625,0.000487625,0.000487625
12,327.08,0.58019,0.44167,0.94556,0.90418,0.76055,0.83524,0.52588,1.32703,0.70021,1.45449,0.000486388,0.000486388,0.000486388
13,352.893,0.5862,0.449,0.95017,0.90551,0.76625,0.83336,0.58011,1.13408,0.67648,1.28508,0.00048515,0.00048515,0.00048515
14,379.07,0.57976,0.44054,0.94512,0.91031,0.77201,0.84338,0.56856,1.15309,0.65824,1.3083,0.000483913,0.000483913,0.000483913
15,404.986,0.57721,0.43978,0.9452,0.89671,0.71871,0.79826,0.54773,1.14258,0.72515,1.27738,0.000482675,0.000482675,0.000482675
16,432.121,0.58407,0.44116,0.94601,0.88212,0.77434,0.83383,0.57135,1.125,0.66415,1.27567,0.000481438,0.000481438,0.000481438
17,458.319,0.58478,0.44645,0.94924,0.90976,0.76023,0.83388,0.55032,1.2066,0.69011,1.32805,0.0004802,0.0004802,0.0004802
