epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5074,0.68324,0.53887,0.99378,0.74543,0.4869,0.58751,0.30396,1.77517,1.59867,1.87009,0.0673359,0.000164141,0.000164141
2,73.6496,0.63305,0.49055,0.96416,0.87565,0.65678,0.72833,0.44417,1.32977,0.91989,1.44057,0.0341685,0.00033008,0.00033008
3,112.422,0.6124,0.47316,0.95961,0.91122,0.74821,0.81463,0.53848,1.12504,0.65285,1.30559,0.00100034,0.000495286,0.000495286
4,143.177,0.59213,0.46001,0.9536,0.88568,0.7576,0.8231,0.56885,1.12379,0.68457,1.24247,0.0004967,0.0004967,0.0004967
5,188.29,0.59175,0.45338,0.94953,0.88922,0.76672,0.83009,0.55861,1.1563,0.65575,1.26938,0.0004956,0.0004956,0.0004956
6,216.702,0.59065,0.44991,0.94753,0.93847,0.74581,0.83037,0.52027,1.26971,0.69255,1.38811,0.0004945,0.0004945,0.0004945
7,248.562,0.59659,0.45927,0.95301,0.90568,0.75883,0.83166,0.56859,1.13259,0.645,1.24493,0.0004934,0.0004934,0.0004934
8,293.545,0.58089,0.44635,0.95083,0.91952,0.74306,0.82522,0.5167,1.27073,0.68618,1.36936,0.0004923,0.0004923,0.0004923
9,325.074,0.58345,0.45052,0.94984,0.9476,0.7281,0.82512,0.55765,1.14473,0.64857,1.25113,0.0004912,0.0004912,0.0004912
10,368.236,0.59624,0.45706,0.95263,0.92714,0.73978,0.82393,0.56312,1.08871,0.62464,1.26274,0.0004901,0.0004901,0.0004901
11,404.356,0.59358,0.45676,0.95575,0.91167,0.75934,0.83463,0.55771,1.11957,0.62029,1.26243,0.000489,0.000489,0.000489
12,435.669,0.57763,0.44471,0.94808,0.91076,0.73216,0.81259,0.52576,1.23752,0.7121,1.3598,0.0004879,0.0004879,0.0004879
13,467.784,0.59466,0.45632,0.95224,0.92437,0.75357,0.82262,0.54362,1.16369,0.68232,1.28527,0.0004868,0.0004868,0.0004868
14,498.537,0.59701,0.45467,0.95189,0.91324,0.74679,0.81312,0.53521,1.18416,0.68293,1.30137,0.0004857,0.0004857,0.0004857
