epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.593,0.7196,0.58471,1.01265,0.84581,0.43917,0.52844,0.29838,1.7456,1.81894,1.78254,0.0672378,0.000164634,0.000164634
2,66.9552,0.67889,0.53763,0.99041,0.92079,0.70483,0.7946,0.45589,1.56209,0.82103,1.63636,0.0340705,0.000330645,0.000330645
3,97.042,0.6283,0.49681,0.97385,0.91351,0.7425,0.82484,0.49717,1.43158,0.74029,1.50007,0.0009025,0.000495996,0.000495996
4,123.15,0.62716,0.48802,0.96853,0.91218,0.74544,0.81219,0.56301,1.14944,0.69349,1.29034,0.00049703,0.00049703,0.00049703
5,148.905,0.63085,0.49421,0.97162,0.92133,0.73156,0.80328,0.50248,1.38448,0.72846,1.41936,0.00049604,0.00049604,0.00049604
6,174.552,0.64722,0.5,0.97497,0.93189,0.73068,0.82498,0.57585,1.12051,0.70212,1.25242,0.00049505,0.00049505,0.00049505
7,202.437,0.64444,0.50008,0.97612,0.88331,0.72569,0.80234,0.55362,1.1563,0.72223,1.30475,0.00049406,0.00049406,0.00049406
8,231.289,0.63663,0.49414,0.97597,0.9298,0.73875,0.82839,0.56164,1.1747,0.67641,1.30968,0.00049307,0.00049307,0.00049307
9,256.443,0.63328,0.49621,0.97461,0.9077,0.73871,0.81161,0.48919,1.42127,0.78406,1.51607,0.00049208,0.00049208,0.00049208
10,281.766,0.63815,0.49613,0.97102,0.86897,0.75485,0.81252,0.51466,1.29395,0.75811,1.41594,0.00049109,0.00049109,0.00049109
11,306.889,0.63869,0.49729,0.97672,0.91197,0.72922,0.81211,0.50815,1.35874,0.71584,1.49183,0.0004901,0.0004901,0.0004901
12,333.517,0.63063,0.49237,0.97076,0.89978,0.7476,0.81808,0.48221,1.46387,0.78003,1.5732,0.00048911,0.00048911,0.00048911
13,358.917,0.63381,0.49615,0.97345,0.93943,0.72496,0.82436,0.55258,1.18904,0.70189,1.29102,0.00048812,0.00048812,0.00048812
14,384.489,0.63183,0.4911,0.97084,0.88797,0.75712,0.81913,0.50214,1.37608,0.71398,1.52141,0.00048713,0.00048713,0.00048713
