epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.3092,0.69032,0.54346,0.99881,0.62228,0.41719,0.43786,0.20792,1.92917,2.0862,2.06449,0.0673359,0.000164141,0.000164141
2,70.8304,0.63999,0.49719,0.96825,0.92159,0.71253,0.80507,0.45994,1.48298,0.78957,1.61339,0.0341665,0.000328079,0.000328079
3,102.478,0.61382,0.47347,0.95988,0.88362,0.77523,0.82418,0.53837,1.1528,0.64503,1.29197,0.000994317,0.000489266,0.000489266
4,144.74,0.59493,0.4631,0.95439,0.92515,0.74097,0.8283,0.5771,1.08733,0.64301,1.20584,0.000487625,0.000487625,0.000487625
5,179.199,0.59273,0.45534,0.95027,0.93197,0.7429,0.83009,0.53576,1.19687,0.65771,1.31915,0.0004835,0.0004835,0.0004835
6,205.469,0.59262,0.45183,0.94952,0.93923,0.72994,0.82163,0.52905,1.19237,0.66326,1.3171,0.000479375,0.000479375,0.000479375
7,236.06,0.5984,0.46176,0.95364,0.90657,0.76123,0.82689,0.56705,1.10318,0.65335,1.23535,0.00047525,0.00047525,0.00047525
8,279.715,0.58229,0.44812,0.95141,0.91751,0.75068,0.81615,0.52709,1.19805,0.66877,1.30479,0.000471125,0.000471125,0.000471125
9,313.373,0.58873,0.45281,0.95164,0.9137,0.74114,0.8195,0.55978,1.13905,0.65192,1.22554,0.000467,0.000467,0.000467
10,350.75,0.59489,0.45677,0.95212,0.92467,0.75634,0.8296,0.54158,1.16291,0.65243,1.30531,0.000462875,0.000462875,0.000462875
11,388.284,0.59331,0.4574,0.9561,0.91771,0.75478,0.83442,0.50435,1.33809,0.70568,1.4401,0.00045875,0.00045875,0.00045875
12,420.763,0.57189,0.44065,0.94545,0.89047,0.76988,0.83261,0.54912,1.1682,0.6433,1.28564,0.000454625,0.000454625,0.000454625
13,453.168,0.58706,0.44771,0.94987,0.94744,0.73723,0.82833,0.55056,1.14292,0.65513,1.26279,0.0004505,0.0004505,0.0004505
14,484.16,0.5902,0.44814,0.95054,0.92504,0.74603,0.82458,0.54751,1.22725,0.68963,1.29735,0.000446375,0.000446375,0.000446375
15,514.071,0.59059,0.45173,0.9511,0.92872,0.73835,0.8227,0.54728,1.14367,0.68537,1.29886,0.00044225,0.00044225,0.00044225
16,542.248,0.58704,0.45023,0.94982,0.89905,0.77332,0.83043,0.55886,1.11216,0.62811,1.26308,0.000438125,0.000438125,0.000438125
17,568.807,0.59261,0.45034,0.95121,0.94339,0.74705,0.83402,0.5593,1.12686,0.64932,1.25764,0.000434,0.000434,0.000434
18,598.391,0.59016,0.45214,0.95171,0.91794,0.75799,0.83818,0.54128,1.18124,0.63988,1.30701,0.000429875,0.000429875,0.000429875
19,645.94,0.58528,0.44558,0.94669,0.92041,0.76703,0.83573,0.5544,1.15148,0.64249,1.26539,0.00042575,0.00042575,0.00042575
20,678.421,0.58108,0.4507,0.94971,0.9229,0.76684,0.8396,0.50623,1.32824,0.69508,1.43787,0.000421625,0.000421625,0.000421625
21,734.86,0.58974,0.44876,0.95115,0.92085,0.75007,0.82603,0.54826,1.16975,0.68441,1.31112,0.0004175,0.0004175,0.0004175
22,780.141,0.5828,0.4509,0.9507,0.92109,0.72798,0.8155,0.51955,1.2116,0.70609,1.34811,0.000413375,0.000413375,0.000413375
23,812.888,0.59271,0.45448,0.95299,0.91464,0.73798,0.80938,0.51291,1.28825,0.72256,1.40483,0.00040925,0.00040925,0.00040925
24,839.887,0.58568,0.44573,0.94772,0.92749,0.75194,0.82799,0.52976,1.23399,0.67732,1.35244,0.000405125,0.000405125,0.000405125
25,884.778,0.59929,0.45605,0.95228,0.93183,0.74155,0.83478,0.57164,1.08461,0.65188,1.23571,0.000401,0.000401,0.000401
26,920.731,0.58625,0.44929,0.95212,0.90926,0.74577,0.82319,0.57686,1.07913,0.66842,1.22697,0.000396875,0.000396875,0.000396875
27,947.3,0.58958,0.44783,0.95193,0.93852,0.74483,0.81928,0.47773,1.44913,0.75946,1.54382,0.00039275,0.00039275,0.00039275
28,1004.69,0.59003,0.44737,0.94777,0.94088,0.75312,0.82347,0.54094,1.16045,0.66888,1.28102,0.000388625,0.000388625,0.000388625
29,1031.09,0.58761,0.4484,0.95084,0.90957,0.76121,0.82788,0.52784,1.30644,0.71262,1.39421,0.0003845,0.0003845,0.0003845
30,1061.47,0.584,0.44976,0.94875,0.93101,0.75336,0.83402,0.54674,1.17943,0.66748,1.31815,0.000380375,0.000380375,0.000380375
31,1092.64,0.58197,0.44471,0.94879,0.92439,0.7475,0.82845,0.52915,1.27691,0.70945,1.38828,0.00037625,0.00037625,0.00037625
32,1127.72,0.59477,0.4511,0.94936,0.95108,0.75068,0.84087,0.53955,1.22141,0.6509,1.33185,0.000372125,0.000372125,0.000372125
33,1158.74,0.5787,0.44317,0.94238,0.90352,0.76094,0.83281,0.55731,1.13663,0.6434,1.25945,0.000368,0.000368,0.000368
34,1187.62,0.57687,0.44439,0.94593,0.9214,0.75445,0.83203,0.54473,1.18658,0.65145,1.28896,0.000363875,0.000363875,0.000363875
35,1215.2,0.57724,0.44291,0.94277,0.90947,0.74461,0.824,0.56705,1.07904,0.64559,1.22933,0.00035975,0.00035975,0.00035975
36,1242.84,0.59035,0.44968,0.9467,0.93618,0.77458,0.83461,0.53073,1.22463,0.65268,1.34712,0.000355625,0.000355625,0.000355625
37,1276.49,0.57565,0.43984,0.94598,0.91477,0.76607,0.83505,0.54634,1.19749,0.66009,1.33141,0.0003515,0.0003515,0.0003515
38,1306.13,0.57113,0.43502,0.94407,0.94103,0.7406,0.83129,0.54992,1.19354,0.65264,1.27875,0.000347375,0.000347375,0.000347375
39,1333.24,0.57956,0.44272,0.94469,0.92945,0.76073,0.83313,0.56089,1.11991,0.6318,1.25759,0.00034325,0.00034325,0.00034325
40,1365.82,0.58664,0.45164,0.95209,0.91736,0.76598,0.84155,0.53077,1.25865,0.65583,1.37817,0.000339125,0.000339125,0.000339125
41,1404.87,0.58112,0.44536,0.94827,0.90758,0.78516,0.83665,0.56222,1.12526,0.61974,1.24297,0.000335,0.000335,0.000335
42,1437.9,0.57868,0.4418,0.94865,0.8751,0.78163,0.83087,0.57374,1.08132,0.61818,1.20604,0.000330875,0.000330875,0.000330875
43,1463.75,0.58192,0.44691,0.94536,0.94767,0.74207,0.83459,0.55317,1.1717,0.65537,1.29258,0.00032675,0.00032675,0.00032675
44,1492.2,0.57974,0.44128,0.94551,0.91763,0.77445,0.84404,0.57508,1.0898,0.61082,1.22896,0.000322625,0.000322625,0.000322625
45,1523.06,0.57837,0.44204,0.94404,0.92504,0.76889,0.83485,0.57275,1.10037,0.62322,1.22989,0.0003185,0.0003185,0.0003185
46,1549.34,0.57794,0.44194,0.94731,0.94239,0.75205,0.83602,0.57695,1.09481,0.63323,1.23045,0.000314375,0.000314375,0.000314375
47,1578.89,0.57862,0.44366,0.9475,0.93374,0.75548,0.8385,0.55969,1.16075,0.63189,1.27766,0.00031025,0.00031025,0.00031025
48,1609.93,0.57519,0.44245,0.94272,0.92671,0.77454,0.82922,0.55359,1.18242,0.62953,1.28643,0.000306125,0.000306125,0.000306125
49,1640.32,0.57359,0.43729,0.94225,0.93225,0.77033,0.8376,0.56326,1.17546,0.63068,1.27258,0.000302,0.000302,0.000302
50,1665.97,0.58188,0.44165,0.94865,0.90991,0.77284,0.83118,0.55385,1.18378,0.65318,1.30564,0.000297875,0.000297875,0.000297875
51,1695.92,0.57206,0.43877,0.94632,0.91919,0.7709,0.84164,0.57667,1.11604,0.61999,1.22247,0.00029375,0.00029375,0.00029375
52,1724.65,0.57669,0.43905,0.94623,0.93398,0.76135,0.84484,0.56378,1.14041,0.60815,1.25625,0.000289625,0.000289625,0.000289625
53,1750.34,0.57057,0.43474,0.93838,0.9427,0.7592,0.83473,0.54101,1.18589,0.62053,1.3152,0.0002855,0.0002855,0.0002855
54,1784.82,0.57581,0.44115,0.94825,0.94362,0.75002,0.8357,0.53585,1.21767,0.6435,1.34169,0.000281375,0.000281375,0.000281375
55,1824.85,0.57519,0.43547,0.94363,0.9402,0.74811,0.84018,0.57414,1.08816,0.61089,1.21859,0.00027725,0.00027725,0.00027725
56,1850.48,0.57067,0.43682,0.94578,0.91967,0.77926,0.84299,0.57251,1.09976,0.59698,1.22845,0.000273125,0.000273125,0.000273125
57,1879.69,0.5647,0.4337,0.94127,0.90392,0.77165,0.83873,0.56135,1.15295,0.6369,1.23172,0.000269,0.000269,0.000269
58,1907.29,0.5721,0.43519,0.94194,0.92637,0.77612,0.84989,0.56485,1.14681,0.59782,1.26308,0.000264875,0.000264875,0.000264875
59,1932.39,0.56779,0.43123,0.94074,0.93107,0.74924,0.84209,0.5806,1.0912,0.62503,1.24469,0.00026075,0.00026075,0.00026075
60,1961.73,0.56975,0.43614,0.94213,0.93094,0.75871,0.83798,0.58052,1.07918,0.61376,1.22268,0.000256625,0.000256625,0.000256625
61,1990.76,0.57214,0.43963,0.944,0.93642,0.75731,0.84297,0.5805,1.10975,0.61645,1.22535,0.0002525,0.0002525,0.0002525
62,2045.64,0.56512,0.4363,0.94102,0.94887,0.74656,0.84022,0.56438,1.1357,0.60928,1.26879,0.000248375,0.000248375,0.000248375
63,2073.6,0.56987,0.43657,0.94376,0.93224,0.76298,0.84021,0.55283,1.17235,0.61324,1.30928,0.00024425,0.00024425,0.00024425
64,2105.73,0.56129,0.42595,0.93526,0.91439,0.78522,0.83816,0.57198,1.11625,0.61574,1.237,0.000240125,0.000240125,0.000240125
65,2131.98,0.56141,0.42326,0.93988,0.90283,0.78484,0.83979,0.54481,1.20924,0.63579,1.31794,0.000236,0.000236,0.000236
66,2184.58,0.57114,0.43203,0.94012,0.93766,0.76575,0.83649,0.55348,1.17505,0.62088,1.2845,0.000231875,0.000231875,0.000231875
67,2222.41,0.57061,0.43394,0.94128,0.93758,0.75631,0.83586,0.57083,1.07962,0.60795,1.21598,0.00022775,0.00022775,0.00022775
68,2253.09,0.57293,0.43686,0.94203,0.91155,0.77958,0.84033,0.56555,1.12236,0.62694,1.25625,0.000223625,0.000223625,0.000223625
69,2293.32,0.5642,0.43555,0.94005,0.92607,0.76023,0.83982,0.57664,1.07543,0.59765,1.23827,0.0002195,0.0002195,0.0002195
70,2335.11,0.56397,0.42997,0.93964,0.92588,0.76876,0.83741,0.56226,1.15801,0.62734,1.28137,0.000215375,0.000215375,0.000215375
71,2364.75,0.56429,0.43102,0.94045,0.95186,0.75035,0.83505,0.55991,1.14666,0.61876,1.28941,0.00021125,0.00021125,0.00021125
72,2403.13,0.56921,0.4344,0.94126,0.94544,0.75376,0.84371,0.56897,1.13322,0.61478,1.25193,0.000207125,0.000207125,0.000207125
73,2439.8,0.55913,0.42705,0.93758,0.9255,0.78604,0.84774,0.55407,1.17301,0.60808,1.29907,0.000203,0.000203,0.000203
74,2474.16,0.56929,0.43138,0.94219,0.94758,0.75065,0.83805,0.57762,1.09083,0.60321,1.21583,0.000198875,0.000198875,0.000198875
75,2512.7,0.56914,0.43238,0.93595,0.94832,0.75637,0.84276,0.56975,1.12629,0.6167,1.23998,0.00019475,0.00019475,0.00019475
76,2578.52,0.56038,0.42786,0.93911,0.94719,0.76048,0.83799,0.56743,1.12448,0.61794,1.25374,0.000190625,0.000190625,0.000190625
77,2608.44,0.56321,0.4309,0.93726,0.93693,0.75221,0.84121,0.5706,1.09923,0.61528,1.25276,0.0001865,0.0001865,0.0001865
78,2633.91,0.55691,0.42889,0.93662,0.95926,0.75078,0.84911,0.57175,1.10711,0.59354,1.26702,0.000182375,0.000182375,0.000182375
79,2681.55,0.56129,0.42759,0.9406,0.9429,0.76595,0.84114,0.5706,1.10382,0.60124,1.25694,0.00017825,0.00017825,0.00017825
80,2711.2,0.56354,0.42991,0.93794,0.90783,0.7994,0.84949,0.577,1.08848,0.5941,1.24161,0.000174125,0.000174125,0.000174125
81,2741.11,0.55216,0.42266,0.93442,0.90684,0.77963,0.84426,0.58665,1.05907,0.59662,1.20653,0.00017,0.00017,0.00017
82,2777.26,inf,0.42081,0.9335,0.94842,0.76544,0.84774,0.56392,1.14086,0.60739,1.28081,0.000165875,0.000165875,0.000165875
83,2806.87,0.55755,0.42645,0.93487,0.91623,0.79092,0.8471,0.59059,1.06001,0.59807,1.20502,0.00016175,0.00016175,0.00016175
84,2837.57,0.54668,0.42013,0.93505,0.92374,0.77866,0.84119,0.56683,1.12759,0.61193,1.26507,0.000157625,0.000157625,0.000157625
85,2868.36,0.56071,0.43006,0.94103,0.89984,0.78375,0.84476,0.58578,1.07115,0.61058,1.20792,0.0001535,0.0001535,0.0001535
86,2893.85,0.55639,0.42233,0.93201,0.94029,0.76335,0.85149,0.57248,1.11458,0.60903,1.26422,0.000149375,0.000149375,0.000149375
87,2927.72,0.5609,0.42398,0.93853,0.92262,0.7745,0.85076,0.55437,1.15529,0.6124,1.31608,0.00014525,0.00014525,0.00014525
88,2963.38,0.55888,0.42859,0.9394,0.91079,0.78001,0.84615,0.56118,1.15708,0.62522,1.30201,0.000141125,0.000141125,0.000141125
