epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3632,0.67613,0.5326,0.9867,0.57277,0.27891,0.27275,0.13043,2.19578,2.82302,2.54637,0.0672378,0.000164634,0.000164634
2,54.5253,0.62243,0.47998,0.96069,0.88553,0.74978,0.80696,0.53256,1.21228,0.71937,1.36695,0.0340684,0.000328568,0.000328568
3,79.3463,0.56942,0.43916,0.9452,0.9026,0.75697,0.82731,0.47326,1.53526,0.76987,1.65597,0.000896255,0.000489751,0.000489751
4,101.786,0.56625,0.43027,0.93875,0.90425,0.7783,0.83337,0.58567,1.07381,0.63715,1.26027,0.000487625,0.000487625,0.000487625
5,124.108,0.559,0.42867,0.93685,0.91256,0.75412,0.8298,0.54637,1.20368,0.69888,1.33152,0.0004835,0.0004835,0.0004835
6,146.54,0.57539,0.43276,0.93968,0.90358,0.78441,0.83749,0.54444,1.27657,0.67408,1.39489,0.000479375,0.000479375,0.000479375
7,170.621,0.56633,0.43155,0.93902,0.91081,0.74412,0.81819,0.54993,1.2364,0.73392,1.36806,0.00047525,0.00047525,0.00047525
8,194.79,0.56414,0.42838,0.94032,0.90615,0.77203,0.83298,0.56493,1.17124,0.67877,1.30499,0.000471125,0.000471125,0.000471125
9,217.015,0.56164,0.42912,0.94017,0.89499,0.76398,0.82992,0.55482,1.18444,0.68334,1.35013,0.000467,0.000467,0.000467
10,239.367,0.56827,0.43111,0.93675,0.93349,0.73092,0.82832,0.53857,1.23704,0.71768,1.37635,0.000462875,0.000462875,0.000462875
11,261.524,0.56761,0.43126,0.9423,0.93256,0.71682,0.8184,0.54072,1.18943,0.7298,1.34633,0.00045875,0.00045875,0.00045875
12,283.652,0.56092,0.42733,0.93721,0.91968,0.75728,0.83931,0.55767,1.19998,0.68095,1.33942,0.000454625,0.000454625,0.000454625
13,306.455,0.57139,0.4329,0.94285,0.89394,0.76511,0.8287,0.5539,1.22889,0.71215,1.37822,0.0004505,0.0004505,0.0004505
14,328.796,0.55713,0.42298,0.93347,0.88817,0.75514,0.82318,0.57036,1.13982,0.67752,1.32009,0.000446375,0.000446375,0.000446375
15,350.928,0.55877,0.42177,0.93646,0.8896,0.72756,0.80126,0.54863,1.18654,0.71886,1.33705,0.00044225,0.00044225,0.00044225
16,380.475,0.56127,0.4225,0.9344,0.90242,0.77199,0.82824,0.54589,1.20587,0.64721,1.36931,0.000438125,0.000438125,0.000438125
17,403.271,0.56132,0.42742,0.93807,0.89688,0.77413,0.84228,0.57461,1.12478,0.62856,1.28615,0.000434,0.000434,0.000434
18,426.596,0.55657,0.42333,0.93753,0.90282,0.75948,0.83088,0.54466,1.17271,0.68504,1.34225,0.000429875,0.000429875,0.000429875
19,448.923,0.55878,0.42138,0.93337,0.91151,0.7604,0.83349,0.50875,1.37035,0.71296,1.50492,0.00042575,0.00042575,0.00042575
20,470.99,0.56053,0.42686,0.93755,0.91769,0.74267,0.82437,0.55724,1.13176,0.67465,1.297,0.000421625,0.000421625,0.000421625
21,493.188,0.55766,0.42395,0.9379,0.92289,0.7505,0.83045,0.53727,1.25579,0.6923,1.39732,0.0004175,0.0004175,0.0004175
22,515.401,0.55791,0.42841,0.93466,0.91159,0.77085,0.83668,0.56828,1.17409,0.66537,1.30983,0.000413375,0.000413375,0.000413375
23,537.786,0.56103,0.42716,0.93677,0.92757,0.7405,0.82204,0.56812,1.11758,0.7121,1.27172,0.00040925,0.00040925,0.00040925
24,560.196,0.55396,0.4221,0.93427,0.88659,0.76474,0.83492,0.57018,1.16851,0.6727,1.31716,0.000405125,0.000405125,0.000405125
25,582.379,0.56457,0.42934,0.94089,0.91709,0.76555,0.83889,0.56944,1.14431,0.63388,1.28529,0.000401,0.000401,0.000401
26,604.543,0.56126,0.42508,0.93612,0.88986,0.77731,0.83459,0.53537,1.27246,0.66906,1.43393,0.000396875,0.000396875,0.000396875
27,626.648,0.55279,0.41967,0.9361,0.90138,0.7614,0.83587,0.56455,1.19115,0.65692,1.31139,0.00039275,0.00039275,0.00039275
28,648.773,0.55694,0.42118,0.93163,0.91053,0.75161,0.83849,0.57195,1.162,0.65838,1.31051,0.000388625,0.000388625,0.000388625
29,670.762,0.55853,0.42948,0.93869,0.91398,0.75459,0.83621,0.55743,1.19856,0.68286,1.32273,0.0003845,0.0003845,0.0003845
30,692.859,0.55229,0.42108,0.93509,0.90464,0.7612,0.82874,0.57221,1.11453,0.65373,1.25805,0.000380375,0.000380375,0.000380375
31,715.118,0.56369,0.425,0.93599,0.9086,0.74867,0.83249,0.54367,1.24336,0.68468,1.40701,0.00037625,0.00037625,0.00037625
