epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.6757,0.91979,0.86178,1.14211,0.85183,0.71641,0.76697,0.46604,1.33569,0.84785,1.46278,0.0668842,0.000166411,0.000166411
2,134.785,0.81632,0.72299,1.08107,0.89339,0.74125,0.80395,0.51743,1.18786,0.74673,1.32705,0.0337148,0.00033033,0.00033033
3,206.905,0.7911,0.68076,1.06979,0.89761,0.73316,0.80941,0.51027,1.26314,0.74189,1.40641,0.000542623,0.000491499,0.000491499
4,295.149,0.78683,0.67579,1.06932,0.91062,0.7478,0.81268,0.50201,1.3165,0.73412,1.43067,0.000487625,0.000487625,0.000487625
5,383.362,0.79287,0.68246,1.06851,0.91224,0.74058,0.81106,0.51293,1.28942,0.72619,1.41403,0.0004835,0.0004835,0.0004835
6,471.606,0.78401,0.67304,1.05904,0.90555,0.74322,0.80464,0.5156,1.23149,0.7359,1.3631,0.000479375,0.000479375,0.000479375
7,560.275,0.79085,0.68198,1.06612,0.9012,0.73766,0.81345,0.51765,1.21506,0.71024,1.35698,0.00047525,0.00047525,0.00047525
8,649.794,0.79256,0.67787,1.07624,0.88895,0.74789,0.80778,0.51417,1.24647,0.69884,1.38966,0.000471125,0.000471125,0.000471125
9,738.905,0.78998,0.68124,1.07224,0.89946,0.73153,0.80567,0.50371,1.2716,0.72587,1.4114,0.000467,0.000467,0.000467
10,829.385,0.798,0.68372,1.06988,0.88533,0.74831,0.79604,0.52772,1.19262,0.73087,1.33034,0.000462875,0.000462875,0.000462875
11,918.569,0.79886,0.68828,1.07504,0.91271,0.74795,0.8105,0.51294,1.24589,0.74082,1.36103,0.00045875,0.00045875,0.00045875
12,1008.74,0.79589,0.68601,1.07228,0.89331,0.74617,0.8097,0.51412,1.22745,0.71661,1.35128,0.000454625,0.000454625,0.000454625
13,1105.44,0.79445,0.67924,1.07219,0.92485,0.7229,0.80797,0.51165,1.23506,0.7273,1.36621,0.0004505,0.0004505,0.0004505
14,1200.45,0.78449,0.66787,1.06381,0.90138,0.73824,0.8115,0.49907,1.29597,0.72089,1.42747,0.000446375,0.000446375,0.000446375
15,1250.83,0.79219,0.6858,1.0699,0.90352,0.74263,0.80035,0.51164,1.20017,0.69193,1.3193,0.00044225,0.00044225,0.00044225
16,1299.1,0.79217,0.67195,1.06386,0.91377,0.73757,0.81309,0.50346,1.29822,0.71864,1.42065,0.000438125,0.000438125,0.000438125
17,1349.38,0.80271,0.69268,1.07341,0.91394,0.72497,0.81492,0.49764,1.29269,0.70811,1.42706,0.000434,0.000434,0.000434
18,1400.21,0.79222,0.68326,1.07087,0.92421,0.72653,0.80782,0.51572,1.24291,0.70592,1.37557,0.000429875,0.000429875,0.000429875
19,1447.4,0.79381,0.67859,1.06581,0.91679,0.74577,0.81429,0.51445,1.25635,0.6843,1.37869,0.00042575,0.00042575,0.00042575
20,1493.63,0.789,0.67915,1.07102,0.90445,0.72855,0.80952,0.51128,1.24746,0.71162,1.40587,0.000421625,0.000421625,0.000421625
21,1542.1,0.79198,0.67681,1.07234,0.8993,0.73391,0.80619,0.50524,1.23545,0.71793,1.36609,0.0004175,0.0004175,0.0004175
22,1591.05,0.79194,0.68488,1.07076,0.8839,0.74202,0.80713,0.5125,1.27059,0.70723,1.37354,0.000413375,0.000413375,0.000413375
23,1638.03,0.79912,0.68422,1.07193,0.92304,0.74987,0.81452,0.50671,1.27732,0.69922,1.38072,0.00040925,0.00040925,0.00040925
24,1684.06,0.7831,0.66886,1.06205,0.87904,0.73933,0.81159,0.52897,1.19438,0.67112,1.32628,0.000405125,0.000405125,0.000405125
25,1730.78,0.78579,0.68196,1.06908,0.91791,0.73222,0.81217,0.4836,1.35568,0.72606,1.45483,0.000401,0.000401,0.000401
26,1780.44,0.79554,0.67179,1.06987,0.90098,0.73377,0.80811,0.516,1.22216,0.70342,1.34618,0.000396875,0.000396875,0.000396875
27,1830.16,0.78076,0.67121,1.06514,0.89481,0.7433,0.81302,0.52303,1.20181,0.66859,1.31957,0.00039275,0.00039275,0.00039275
28,1877.45,0.78782,0.68097,1.06942,0.90858,0.73792,0.80979,0.52709,1.21671,0.69656,1.35059,0.000388625,0.000388625,0.000388625
