epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.2504,0.73271,0.59007,1.019,0.85975,0.6819,0.74656,0.43235,1.46111,0.91184,1.65788,0.0670368,0.000165644,0.000165644
2,79.0082,0.6488,0.51204,0.9791,0.93009,0.74423,0.82236,0.54196,1.18286,0.67369,1.29722,0.0338674,0.000329569,0.000329569
3,112.34,0.60783,0.46808,0.95919,0.91532,0.76954,0.8415,0.57685,1.09698,0.62222,1.25544,0.000695243,0.000490744,0.000490744
4,146.659,0.60518,0.46267,0.95828,0.93302,0.75858,0.8374,0.54886,1.16917,0.65081,1.34305,0.000487625,0.000487625,0.000487625
5,178.588,0.60763,0.46701,0.95926,0.93261,0.75048,0.84006,0.58941,1.09317,0.61878,1.24023,0.0004835,0.0004835,0.0004835
6,211.558,0.61548,0.47232,0.95853,0.91154,0.79201,0.84717,0.55265,1.20453,0.62711,1.36817,0.000479375,0.000479375,0.000479375
7,243.467,0.6032,0.46339,0.95854,0.92131,0.76995,0.84515,0.56984,1.17069,0.61964,1.30423,0.00047525,0.00047525,0.00047525
8,275.608,0.60197,0.46507,0.95915,0.88888,0.7783,0.84111,0.56664,1.11296,0.61757,1.27357,0.000471125,0.000471125,0.000471125
9,307.411,0.60469,0.46596,0.96117,0.93104,0.7599,0.83386,0.56167,1.11369,0.63198,1.28412,0.000467,0.000467,0.000467
10,339.465,0.60921,0.46593,0.95844,0.92299,0.76143,0.84289,0.56337,1.18901,0.63609,1.32387,0.000462875,0.000462875,0.000462875
11,371.342,0.59811,0.45791,0.95841,0.93709,0.75734,0.84439,0.57001,1.13717,0.62389,1.28452,0.00045875,0.00045875,0.00045875
12,403.073,0.59958,0.45769,0.95636,0.94374,0.75252,0.84693,0.58285,1.09406,0.59373,1.2558,0.000454625,0.000454625,0.000454625
13,435.767,0.61193,0.46773,0.95935,0.92849,0.76918,0.84542,0.56556,1.16248,0.6146,1.30495,0.0004505,0.0004505,0.0004505
14,464.161,0.60406,0.46077,0.95637,0.93897,0.7571,0.84643,0.57415,1.11049,0.60341,1.27272,0.000446375,0.000446375,0.000446375
15,487.382,0.60423,0.46076,0.95694,0.91096,0.75984,0.83296,0.57468,1.0732,0.62683,1.23826,0.00044225,0.00044225,0.00044225
16,510.719,0.59751,0.45402,0.95457,0.91984,0.76537,0.83939,0.54566,1.2281,0.61729,1.36534,0.000438125,0.000438125,0.000438125
17,534.155,0.60058,0.46523,0.95804,0.89889,0.77805,0.84101,0.57191,1.09344,0.63111,1.24277,0.000434,0.000434,0.000434
18,557.392,0.60369,0.46245,0.95816,0.91399,0.77657,0.84367,0.54113,1.27546,0.63698,1.3759,0.000429875,0.000429875,0.000429875
19,580.65,0.60554,0.46078,0.95335,0.89498,0.79507,0.85455,0.54964,1.22914,0.62328,1.36361,0.00042575,0.00042575,0.00042575
20,603.95,0.60382,0.46238,0.95841,0.91325,0.76666,0.8396,0.56747,1.12628,0.61855,1.27682,0.000421625,0.000421625,0.000421625
21,627.159,0.6017,0.46416,0.9572,0.92133,0.77068,0.84273,0.54891,1.19116,0.635,1.33004,0.0004175,0.0004175,0.0004175
22,650.475,0.60754,0.46362,0.95647,0.93425,0.76801,0.84539,0.55014,1.21548,0.65966,1.37631,0.000413375,0.000413375,0.000413375
23,673.569,0.60614,0.46559,0.96029,0.92368,0.76331,0.84784,0.58806,1.06755,0.60717,1.22202,0.00040925,0.00040925,0.00040925
24,696.764,0.59612,0.45849,0.95236,0.93228,0.76282,0.84235,0.57007,1.14668,0.61979,1.297,0.000405125,0.000405125,0.000405125
25,720.019,0.60382,0.46538,0.95883,0.90843,0.78571,0.84508,0.57146,1.12726,0.6058,1.30737,0.000401,0.000401,0.000401
26,743.189,0.60028,0.46028,0.95698,0.91172,0.78815,0.84447,0.57456,1.12145,0.61582,1.28673,0.000396875,0.000396875,0.000396875
27,766.482,0.59225,0.45717,0.95486,0.91751,0.75734,0.83251,0.58445,1.05862,0.6088,1.21881,0.00039275,0.00039275,0.00039275
28,789.836,0.59906,0.45675,0.95343,0.94201,0.75065,0.83828,0.5674,1.13653,0.62644,1.30052,0.000388625,0.000388625,0.000388625
29,813.113,0.60319,0.46214,0.95678,0.90193,0.77034,0.83727,0.57937,1.06397,0.61084,1.21885,0.0003845,0.0003845,0.0003845
30,836.389,0.59341,0.45436,0.95417,0.90434,0.76368,0.83561,0.58166,1.08028,0.61533,1.23681,0.000380375,0.000380375,0.000380375
31,859.713,0.59875,0.45587,0.95362,0.90499,0.77252,0.83001,0.56507,1.16291,0.62686,1.32468,0.00037625,0.00037625,0.00037625
32,883.196,0.59615,0.46114,0.95219,0.94056,0.76972,0.84732,0.56711,1.14485,0.60592,1.28885,0.000372125,0.000372125,0.000372125
33,906.668,0.60363,0.4597,0.95431,0.93546,0.73785,0.84109,0.58675,1.07662,0.60583,1.22861,0.000368,0.000368,0.000368
34,930.102,0.59714,0.45606,0.95385,0.93062,0.76404,0.84416,0.55242,1.25895,0.63235,1.35793,0.000363875,0.000363875,0.000363875
35,953.448,0.59526,0.45463,0.95354,0.92781,0.7604,0.84337,0.59355,1.03881,0.60194,1.20313,0.00035975,0.00035975,0.00035975
36,977.566,0.60271,0.45982,0.9549,0.92159,0.76993,0.84059,0.56346,1.18543,0.62036,1.33162,0.000355625,0.000355625,0.000355625
37,1000.95,0.5942,0.45299,0.95007,0.91564,0.75374,0.83525,0.56534,1.15367,0.61763,1.30105,0.0003515,0.0003515,0.0003515
38,1024.44,0.59616,0.45723,0.95343,0.91643,0.78196,0.84471,0.56081,1.18525,0.62871,1.33907,0.000347375,0.000347375,0.000347375
39,1047.95,0.59326,0.45358,0.94959,0.94825,0.75574,0.84805,0.58868,1.07873,0.61112,1.24586,0.00034325,0.00034325,0.00034325
40,1071.44,0.59129,0.44943,0.95041,0.90826,0.78168,0.84191,0.56916,1.14519,0.63267,1.30508,0.000339125,0.000339125,0.000339125
41,1094.88,0.59541,0.45493,0.95169,0.94406,0.75914,0.84202,0.56067,1.14255,0.6099,1.31144,0.000335,0.000335,0.000335
42,1118.32,0.6012,0.46599,0.95782,0.92419,0.77174,0.84487,0.56375,1.1908,0.61823,1.32757,0.000330875,0.000330875,0.000330875
43,1141.73,0.58674,0.44405,0.94686,0.88704,0.79799,0.84484,0.56694,1.16979,0.60811,1.34535,0.00032675,0.00032675,0.00032675
44,1165.18,0.5894,0.45177,0.94903,0.90848,0.7889,0.84664,0.59006,1.08173,0.58983,1.23936,0.000322625,0.000322625,0.000322625
45,1188.51,0.58804,0.44821,0.95057,0.92408,0.75311,0.84029,0.58293,1.06778,0.61733,1.25644,0.0003185,0.0003185,0.0003185
46,1211.85,0.59007,0.45017,0.95338,0.94268,0.75497,0.84641,0.57547,1.13583,0.61992,1.28598,0.000314375,0.000314375,0.000314375
47,1235.17,0.58697,0.44998,0.94869,0.9077,0.78627,0.84952,0.56428,1.16482,0.60588,1.31834,0.00031025,0.00031025,0.00031025
48,1258.48,0.5802,0.44707,0.94766,0.9272,0.76743,0.84326,0.57532,1.11885,0.61059,1.26531,0.000306125,0.000306125,0.000306125
49,1281.81,0.58111,0.44355,0.94834,0.9004,0.77412,0.84576,0.57963,1.1017,0.59016,1.2683,0.000302,0.000302,0.000302
50,1307.07,0.58583,0.44554,0.94705,0.91615,0.77278,0.8458,0.58217,1.0801,0.60352,1.23165,0.000297875,0.000297875,0.000297875
51,1330.46,0.58968,0.45111,0.95086,0.92027,0.77607,0.84863,0.58002,1.11094,0.60216,1.26235,0.00029375,0.00029375,0.00029375
52,1353.74,0.57981,0.44118,0.94778,0.89022,0.80225,0.84806,0.56598,1.15004,0.62159,1.31314,0.000289625,0.000289625,0.000289625
53,1376.99,0.58218,0.44873,0.9495,0.91484,0.79073,0.8503,0.58921,1.05786,0.59164,1.22962,0.0002855,0.0002855,0.0002855
54,1400.29,0.59707,0.45306,0.94998,0.94155,0.76952,0.84684,0.58163,1.11884,0.59907,1.26108,0.000281375,0.000281375,0.000281375
55,1423.55,0.58561,0.44802,0.94943,0.90198,0.77709,0.84377,0.57393,1.1199,0.59843,1.27074,0.00027725,0.00027725,0.00027725
56,1446.94,0.58764,0.45017,0.94894,0.92891,0.77075,0.84989,0.57779,1.11448,0.6043,1.2483,0.000273125,0.000273125,0.000273125
57,1470.34,0.57826,0.44488,0.94684,0.91117,0.77762,0.84491,0.58471,1.09218,0.59252,1.25416,0.000269,0.000269,0.000269
58,1493.8,0.58895,0.4506,0.95153,0.9388,0.76755,0.85355,0.59012,1.0729,0.58746,1.23285,0.000264875,0.000264875,0.000264875
59,1517.18,0.58503,0.44762,0.9492,0.91416,0.7854,0.84466,0.55894,1.18427,0.60993,1.32663,0.00026075,0.00026075,0.00026075
60,1540.56,0.57985,0.4429,0.94631,0.91877,0.77084,0.84749,0.56913,1.1474,0.61223,1.29891,0.000256625,0.000256625,0.000256625
61,1563.99,0.581,0.44434,0.94845,0.9386,0.76803,0.8505,0.57064,1.13087,0.60349,1.29579,0.0002525,0.0002525,0.0002525
62,1587.21,0.57769,0.44773,0.9514,0.94355,0.76035,0.84323,0.5759,1.09565,0.59539,1.2774,0.000248375,0.000248375,0.000248375
63,1610.55,0.58269,0.44647,0.94637,0.90061,0.78294,0.84381,0.57994,1.09676,0.61146,1.24867,0.00024425,0.00024425,0.00024425
64,1633.99,0.5803,0.44397,0.94577,0.91853,0.78513,0.84947,0.5748,1.12428,0.59339,1.27301,0.000240125,0.000240125,0.000240125
65,1657.39,0.57674,0.44037,0.94498,0.92075,0.77685,0.84947,0.57237,1.1266,0.60331,1.28651,0.000236,0.000236,0.000236
66,1680.76,0.57712,0.43735,0.94458,0.90318,0.7866,0.84735,0.57034,1.15571,0.60559,1.28618,0.000231875,0.000231875,0.000231875
67,1704.2,0.57432,0.43784,0.94309,0.91443,0.77954,0.84836,0.57565,1.12073,0.60746,1.26165,0.00022775,0.00022775,0.00022775
68,1727.63,0.58765,0.45049,0.95019,0.92649,0.7771,0.85219,0.58391,1.09362,0.59184,1.24597,0.000223625,0.000223625,0.000223625
69,1751.04,0.58087,0.44213,0.94573,0.89862,0.78966,0.84551,0.56054,1.15773,0.61841,1.29465,0.0002195,0.0002195,0.0002195
70,1774.55,0.57533,0.43799,0.94545,0.91152,0.77894,0.85107,0.57881,1.10393,0.59217,1.25699,0.000215375,0.000215375,0.000215375
71,1797.88,0.58297,0.44128,0.94564,0.92736,0.77243,0.85084,0.58222,1.09895,0.60008,1.24936,0.00021125,0.00021125,0.00021125
72,1821.12,0.57731,0.44477,0.94828,0.90339,0.80117,0.85352,0.5759,1.10281,0.59259,1.26408,0.000207125,0.000207125,0.000207125
73,1844.53,0.58109,0.44484,0.9472,0.90839,0.78113,0.85081,0.58777,1.08548,0.59007,1.22804,0.000203,0.000203,0.000203
74,1867.98,0.57889,0.44052,0.93927,0.91865,0.7841,0.84683,0.57884,1.10894,0.60142,1.24738,0.000198875,0.000198875,0.000198875
75,1891.18,0.58498,0.44517,0.94511,0.908,0.78831,0.84675,0.57726,1.11356,0.59662,1.25144,0.00019475,0.00019475,0.00019475
76,1914.59,0.57775,0.44227,0.94537,0.91537,0.78583,0.85019,0.57781,1.10446,0.5789,1.24798,0.000190625,0.000190625,0.000190625
77,1937.97,0.56965,0.43809,0.94281,0.91773,0.78716,0.8476,0.57123,1.13314,0.59652,1.269,0.0001865,0.0001865,0.0001865
78,1961.29,0.5743,0.43947,0.94622,0.91289,0.79063,0.84592,0.58091,1.11277,0.59281,1.24979,0.000182375,0.000182375,0.000182375
79,1984.49,0.57304,0.43459,0.94021,0.91929,0.78871,0.84891,0.57999,1.10869,0.60182,1.24735,0.00017825,0.00017825,0.00017825
80,2007.88,0.57647,0.43925,0.94299,0.92079,0.77849,0.84833,0.58423,1.08842,0.59196,1.23551,0.000174125,0.000174125,0.000174125
81,2031.76,0.56239,0.42796,0.93844,0.9153,0.79018,0.84802,0.58028,1.10977,0.59294,1.25762,0.00017,0.00017,0.00017
82,2055.23,0.5788,0.43806,0.94468,0.91985,0.7818,0.85041,0.58294,1.0974,0.59825,1.25167,0.000165875,0.000165875,0.000165875
83,2078.72,0.56996,0.43516,0.93892,0.93356,0.77549,0.84944,0.58408,1.1136,0.59632,1.25662,0.00016175,0.00016175,0.00016175
84,2102.2,0.57348,0.43967,0.94402,0.92613,0.77512,0.84839,0.57646,1.11666,0.59536,1.2692,0.000157625,0.000157625,0.000157625
85,2125.54,0.56315,0.43283,0.93971,0.91395,0.78665,0.84652,0.57853,1.10545,0.58245,1.26665,0.0001535,0.0001535,0.0001535
86,2149,0.56648,0.43229,0.94203,0.93171,0.76912,0.84781,0.57784,1.1204,0.5957,1.26978,0.000149375,0.000149375,0.000149375
87,2172.3,0.57418,0.4373,0.94376,0.91838,0.78669,0.85149,0.57821,1.10891,0.58743,1.26845,0.00014525,0.00014525,0.00014525
88,2195.66,0.57318,0.43623,0.94433,0.92298,0.78583,0.85459,0.59029,1.0754,0.58641,1.24071,0.000141125,0.000141125,0.000141125
89,2219.1,0.56745,0.44012,0.94636,0.91567,0.78345,0.85145,0.59323,1.05898,0.58037,1.22904,0.000137,0.000137,0.000137
90,2243.2,0.56015,0.42734,0.93868,0.92391,0.78616,0.85341,0.58653,1.09547,0.57907,1.24963,0.000132875,0.000132875,0.000132875
